"filename", "language", "TypeScript", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"/Users/bruno1388/Desktop/trans/react-app/src/@types/auth.types.ts", "TypeScript", 26, 0, 0, 28, 13, 67
"/Users/bruno1388/Desktop/trans/react-app/src/@types/chat.types.tsx", "TypeScript JSX", 0, 40, 0, 0, 8, 48
"/Users/bruno1388/Desktop/trans/react-app/src/@types/index.ts", "TypeScript", 7, 0, 0, 0, 1, 8
"/Users/bruno1388/Desktop/trans/react-app/src/@types/invitation.types.ts", "TypeScript", 40, 0, 0, 0, 9, 49
"/Users/bruno1388/Desktop/trans/react-app/src/@types/notifications.types.tsx", "TypeScript JSX", 0, 37, 0, 2, 13, 52
"/Users/bruno1388/Desktop/trans/react-app/src/@types/other/MessageType.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"/Users/bruno1388/Desktop/trans/react-app/src/@types/other/SetStateType.ts", "TypeScript", 2, 0, 0, 0, 2, 4
"/Users/bruno1388/Desktop/trans/react-app/src/@types/other/react-app-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"/Users/bruno1388/Desktop/trans/react-app/src/@types/pong.types.tsx", "TypeScript JSX", 0, 67, 0, 0, 13, 80
"/Users/bruno1388/Desktop/trans/react-app/src/App.tsx", "TypeScript JSX", 0, 41, 0, 23, 6, 70
"/Users/bruno1388/Desktop/trans/react-app/src/assets/images/index.ts", "TypeScript", 16, 0, 0, 0, 1, 17
"/Users/bruno1388/Desktop/trans/react-app/src/assets/styles/App.scss", "SCSS", 0, 0, 21, 2, 6, 29
"/Users/bruno1388/Desktop/trans/react-app/src/assets/styles/form.scss", "SCSS", 0, 0, 119, 4, 14, 137
"/Users/bruno1388/Desktop/trans/react-app/src/assets/styles/general.scss", "SCSS", 0, 0, 15, 3, 1, 19
"/Users/bruno1388/Desktop/trans/react-app/src/assets/styles/variables.scss", "SCSS", 0, 0, 31, 2, 7, 40
"/Users/bruno1388/Desktop/trans/react-app/src/components/chat/Chat.tsx", "TypeScript JSX", 0, 11, 0, 0, 2, 13
"/Users/bruno1388/Desktop/trans/react-app/src/components/chat/components/AddContact.tsx", "TypeScript JSX", 0, 74, 0, 0, 6, 80
"/Users/bruno1388/Desktop/trans/react-app/src/components/chat/components/ChannelUsers.tsx", "TypeScript JSX", 0, 81, 0, 1, 4, 86
"/Users/bruno1388/Desktop/trans/react-app/src/components/chat/components/Feed.tsx", "TypeScript JSX", 0, 82, 0, 0, 8, 90
"/Users/bruno1388/Desktop/trans/react-app/src/components/chat/components/Message.tsx", "TypeScript JSX", 0, 32, 0, 0, 4, 36
"/Users/bruno1388/Desktop/trans/react-app/src/components/chat/components/User.tsx", "TypeScript JSX", 0, 52, 0, 1, 4, 57
"/Users/bruno1388/Desktop/trans/react-app/src/components/chat/components/UserMenu.tsx", "TypeScript JSX", 0, 130, 0, 0, 8, 138
"/Users/bruno1388/Desktop/trans/react-app/src/components/chat/styles/channelUsers.scss", "SCSS", 0, 0, 43, 1, 3, 47
"/Users/bruno1388/Desktop/trans/react-app/src/components/chat/styles/chat.scss", "SCSS", 0, 0, 10, 0, 2, 12
"/Users/bruno1388/Desktop/trans/react-app/src/components/chat/styles/feed.scss", "SCSS", 0, 0, 67, 1, 4, 72
"/Users/bruno1388/Desktop/trans/react-app/src/components/chat/styles/invite.scss", "SCSS", 0, 0, 51, 0, 2, 53
"/Users/bruno1388/Desktop/trans/react-app/src/components/chat/styles/message.scss", "SCSS", 0, 0, 53, 0, 7, 60
"/Users/bruno1388/Desktop/trans/react-app/src/components/chat/styles/user.scss", "SCSS", 0, 0, 105, 1, 10, 116
"/Users/bruno1388/Desktop/trans/react-app/src/components/home/Home.tsx", "TypeScript JSX", 0, 50, 0, 2, 6, 58
"/Users/bruno1388/Desktop/trans/react-app/src/components/home/components/ChannelButton.tsx", "TypeScript JSX", 0, 15, 0, 0, 2, 17
"/Users/bruno1388/Desktop/trans/react-app/src/components/home/components/Friendbar.tsx", "TypeScript JSX", 0, 50, 0, 0, 6, 56
